hit	similarity
gilteritinib fumarate	0.5596476197242737
peramivir	0.5569697618484497
zanamivir	0.5469998717308044
erdafitinib	0.5287650227546692
atovaquone and proguanil hydrochloride	0.526641309261322
rimantadine hydrochloride	0.5249985456466675
delavirdine mesylate	0.5242565870285034
atazanavir sulfate and ritonavir	0.5215566158294678
cobimetinib fumarate	0.5202249884605408
niclosamide	0.5195862650871277
lopinavir and ritonavir	0.5190795660018921
temsirolimus	0.5146164298057556
rilpivirine hydrochloride	0.5108442306518555
alectinib hydrochloride	0.5094975829124451
lefamulin acetate	0.5077356100082397
perphenazine and amitriptyline hydrochloride	0.507196307182312
alogliptin and metformin hydrochloride	0.506837010383606
tamiflu	0.5065409541130066
selinexor	0.5053855776786804
amprenavir	0.5043438673019409
ibuprofen and diphenhydramine citrate	0.5035539269447327
olanzapine and fluoxetine hydrochloride	0.502914547920227
probenecid and colchicine	0.5022722482681274
erlotinib hydrochloride	0.5016403198242188
bicalutamide	0.5016143918037415
alomide	0.5014720559120178
amantadine hydrochloride	0.5013114809989929
azelastine hydrochloride and fluticasone propionate	0.5008869171142578
revefenacin	0.5004103183746338
imipramine pamoate	0.5000386834144592
doravirine	0.5000228881835938
rosiglitazone maleate and metformin hydrochloride	0.49872010946273804
nefazodone hydrochloride	0.49831774830818176
mefloquine hydrochloride	0.498041570186615
abacavir sulfate and lamivudine	0.4979042410850525
carisoprodol compound	0.4974534511566162
triprolidine and pseudoephedrine hydrochlorides w/ codeine	0.4970366954803467
soma compound w/ codeine	0.49700748920440674
chloroquine hydrochloride	0.4960755407810211
saquinavir mesylate	0.49556127190589905
linagliptin and metformin hydrochloride	0.4954538345336914
nilutamide	0.4947096109390259
memantine hydrochloride and donepezil hydrochloride	0.4946650266647339
donepezil hydrochloride and memantine hydrochloride	0.4946649968624115
nelfinavir mesylate	0.4946010410785675
ceritinib	0.49452412128448486
virazole	0.49377724528312683
vorinostat	0.4933770000934601
triprolidine and pseudoephedrine hydrochlorides	0.4931572377681732
fulvestrant	0.49243175983428955
gefitinib	0.49215954542160034
oseltamivir phosphate	0.4920257329940796
ibuprofen and diphenhydramine hydrochloride	0.491555780172348
formoterol fumarate	0.49149221181869507
bedaquiline fumarate	0.49117547273635864
efavirenz, lamivudine and tenofovir disoproxil fumarate	0.49112528562545776
lamivudine and tenofovir disoproxil fumarate	0.49112528562545776
stiripentol	0.49097415804862976
propoxyphene hydrochloride and acetaminophen	0.4905342757701874
desvenlafaxine fumarate	0.48947012424468994
dolutegravir, lamivudine, and tenofovir disoproxil fumarate	0.48873722553253174
efavirenz, emtricitabine, and tenofovir disoproxil fumarate	0.48873722553253174
